Periodo;Juicios iniciados por personas trabajadoras en unidades productivas, notificados en el mes de referencia (1);Juicios iniciados por personas trabajadoras en casas particulares, notificados en el mes de referencia (2);Total de juicios notificados en el mes de referencia (3);Sentencias dictadas en el mes de referencia (4);Stock acumulado de juicios sin resolver (5);;Unidades Productivas ;Sin personas trabajadoras declaradas;1;2;3-may;6-oct;nov-25;26-40;41-50 ;51-100;101-500;501-1500 ;1501-2500;2501-5000 ;Mas de 5000;Sin datos;Total unidades productivas;Total casas particulares;Total sistema;;Unidades Productivas ;C.A.B.A.;Buenos Aires;Catamarca;Córdoba;Corrientes;Entre Ríos;Jujuy;Mendoza;La Rioja;Salta;San Juan;San Luis;Santa Fe;Sgo. del Estero;Tucumán;Chaco;Chubut;Formosa;Misiones;Neuquén;La Pampa;Río Negro;Santa Cruz;Tierra del Fuego;Sin datos;Total unidades productivas;Total casas particulares;Total sistema;;Unidades Productivas ;Berkley ART;Prevención;Provincia;La Segunda;Interacción;Fed. Patronal;Prod. de Frutas;La Holando;Experta ART.;Victoria;La Meridional;MAPFRE;Galeno;Swiss Medical;Inst. Autarq. E.R.;Asociart;Horizonte;Caja Popular;Latitud Sur;Reconquista;Liderar ART;Caminos Protegidos;Omint;Mutual Petroleros;Mutual Rural;Andina ART;Exxonmobil;Shell;Coop. Port. San Martin;Sgo. del Estero;Municip. Rosario;Autoaseg. Pcia. de Buenos Aires;Total unidades productivas**;Total casas particulares;Total sistema;;Unidades productivas ;Agricultura, ganaderia, caza, silvicultura y pesca;Explotacion de minas y canteras;Industria manufacturera;Suministro de electricidad, gas, vapor y aire acondicionado;Suministro de agua, cloacas, gestion de residuos y recuperacion de materiales y saneamiento publico;Construccion;"Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas";Servicio de transporte y almacenamiento;Servicios de alojamiento y servicios de comida;Informacion y comunicaciones;Intermediacion financiera y servicios de seguros;Servicios inmobiliarios;Servicios profesionales, cientificos y tecnicos;Actividades administrativas y servicios de apoyo;Administracion publica, defensa y seguridad social obligatoria;Enseñanza;Salud humana y servicios sociales;Servicios artisticos, culturales, deportivos y de esparcimiento;Servicios de asociaciones y servicios personales;Servicios de organizaciones y organos extraterritoriales;Sin datos;Total unidades productivas ;Total casas particulares ;Total sistema
ene-17;61;2;63;883;334164;ene-17;;0;1;1;0;3;2;3;2;4;15;6;3;10;3;8;61;2;63;ene-17;;4;8;0;0;1;0;2;17;0;0;0;5;15;2;0;0;4;0;1;0;0;2;0;0;0;61;2;63;ene-17;;1;5;9;8;0;3;1;0;3;0;0;0;2;0;1;2;1;0;0;3;18;0;4;0;0;0;0;0;0;0;0;0;61;2;63;ene-17;;2;0;18;0;;3;12;3;;;3;;;;20;;;;;;0;61;2;63
feb-17;12832;195;13027;4928;342263;feb-17;;0;200;183;524;641;1197;762;365;1124;2727;1583;757;542;1611;616;12832;195;13027;feb-17;;6566;1694;1;1458;48;93;27;769;3;8;18;44;1606;28;13;26;42;2;65;223;2;86;0;10;0;12832;195;13027;feb-17;;149;1776;2142;815;0;960;69;38;1688;17;0;0;2064;1268;45;1179;28;2;14;28;145;67;330;0;0;0;0;0;0;0;8;0;12832;195;13027;feb-17;;367;75;3726;65;;1231;1914;1583;;;961;;;;2871;;;;;;38;12832;195;13027
mar-17;15304;256;15560;7668;350155;mar-17;;0;278;200;611;760;1358;828;429;1388;3277;2024;814;697;1882;758;15304;256;15560;mar-17;;6906;2770;3;1656;72;121;29;975;2;20;60;82;2074;23;28;27;65;4;78;129;7;151;1;21;0;15304;256;15560;mar-17;;181;2142;2656;1003;0;1114;82;39;2013;32;0;0;2414;1406;49;1285;51;3;6;25;258;87;452;0;0;0;0;0;0;1;5;0;15304;256;15560;mar-17;;470;76;4429;82;;1466;2238;1885;;;1155;;;;3440;;;;;;62;15304;256;15560
abr-17;11933;211;12144;6398;355901;abr-17;;0;193;173;479;569;987;703;324;1087;2506;1625;620;532;1550;585;11933;211;12144;abr-17;;6123;2248;3;918;58;95;18;674;4;16;26;54;1251;25;18;28;42;8;68;82;5;125;2;42;0;11933;211;12144;abr-17;;117;1640;2093;699;0;825;92;37;1613;30;0;0;2056;1010;54;977;27;2;2;47;165;98;348;0;0;0;0;0;0;0;1;0;11933;211;12144;abr-17;;338;63;3320;60;;1132;1733;1539;;;951;;;;2726;;;;;;70;11933;211;12144
may-17;11687;196;11883;8057;359727;may-17;;0;176;174;481;562;1025;635;339;1033;2426;1569;637;513;1480;637;11687;196;11883;may-17;;5018;2277;4;1124;69;102;43;876;5;17;41;73;1542;37;26;14;51;3;74;104;5;152;1;29;0;11687;196;11883;may-17;;146;1659;2103;782;0;970;81;24;1482;18;0;0;1736;969;52;978;40;1;8;39;169;82;342;0;0;0;0;0;1;0;5;0;11687;196;11883;may-17;;361;73;3276;67;;1103;1758;1467;;;849;;;;2672;;;;;;61;11687;196;11883
jun-17;10861;207;11068;13959;356836;jun-17;;0;173;163;444;517;995;585;291;951;2229;1521;551;535;1339;567;10861;207;11068;jun-17;;4702;2226;2;1179;71;106;29;746;2;18;45;78;1129;32;26;21;54;5;83;136;4;149;1;17;0;10861;207;11068;jun-17;;125;1645;1836;738;0;807;93;40;1411;12;0;0;1671;912;57;869;60;0;3;26;191;75;283;0;0;0;0;0;0;0;7;0;10861;207;11068;jun-17;;364;63;3070;61;;1026;1577;1327;;;810;;;;2511;;;;;;52;10861;207;11068
jul-17;6146;88;6234;4632;358438;jul-17;;0;89;88;255;286;533;341;187;532;1275;847;341;271;806;295;6146;88;6234;jul-17;;2446;1479;0;694;23;38;18;386;0;9;15;52;767;15;16;8;23;6;36;44;2;58;0;11;0;6146;88;6234;jul-17;;54;836;1245;469;0;469;40;14;736;10;0;0;868;469;16;514;18;0;0;18;81;57;230;0;0;0;0;0;0;0;2;0;6146;88;6234;jul-17;;161;36;1750;34;;577;927;791;;;422;;;;1427;;;;;;21;6146;88;6234
ago-17;12133;192;12325;7605;363158;ago-17;;0;220;183;478;604;1073;719;341;1044;2526;1623;634;552;1497;639;12133;192;12325;ago-17;;4336;3288;1;1223;62;132;39;929;4;18;55;50;1384;62;13;19;49;6;105;140;7;152;2;57;0;12133;192;12325;ago-17;;125;1875;2112;858;0;1171;82;30;1435;13;0;0;1678;1006;59;895;53;1;9;25;198;83;418;0;0;0;0;0;0;0;7;0;12133;192;12325;ago-17;;395;64;3412;82;;1193;1905;1456;;;823;;;;2741;;;;;;62;12133;192;12325
sep-17;11190;207;11397;8079;366476;sep-17;;0;180;183;444;538;956;651;311;1022;2234;1585;570;491;1414;611;11190;207;11397;sep-17;;3586;3272;3;1143;62;106;54;1015;2;9;34;92;1308;32;29;21;45;6;93;106;3;126;1;42;0;11190;207;11397;sep-17;;125;1733;2057;797;0;902;58;32;1269;19;0;0;1624;855;53;959;49;1;13;31;140;89;381;0;0;0;0;0;0;0;3;0;11190;207;11397;sep-17;;323;61;3188;69;;1037;1615;1408;;;791;;;;2639;;;;;;59;11190;207;11397
oct-17;11371;186;11557;8283;369750;oct-17;;0;169;175;405;558;977;659;329;974;2524;1522;573;549;1343;614;11371;186;11557;oct-17;;3727;3711;3;824;47;90;28;931;0;24;31;101;1323;23;28;17;55;1;88;143;6;137;2;31;0;11371;186;11557;oct-17;;135;1754;2075;811;0;999;68;31;1310;15;0;0;1577;967;52;860;39;1;2;29;160;96;381;0;0;0;0;0;0;4;5;0;11371;186;11557;oct-17;;368;65;3145;63;;1163;1610;1422;;;806;;;;2670;;;;;;59;11371;186;11557
nov-17;9401;151;9552;8568;370734;nov-17;;0;144;129;338;455;795;564;259;892;2018;1259;513;425;1099;511;9401;151;9552;nov-17;;2943;3336;1;365;82;86;23;803;1;14;35;95;1157;14;25;15;44;2;87;114;5;130;0;24;0;9401;151;9552;nov-17;;95;1402;1789;690;0;802;78;28;1051;19;0;0;1254;770;47;721;31;1;6;24;128;51;413;0;0;0;0;0;0;0;1;0;9401;151;9552;nov-17;;310;47;2684;62;;959;1378;1156;;;643;;;;2095;;;;;;65;9401;151;9552
dic-17;9241;164;9405;9093;371046;dic-17;;0;117;141;300;420;860;560;259;807;1865;1282;486;463;1228;453;9241;164;9405;dic-17;;2715;3735;1;257;67;108;30;742;2;9;29;64;1015;94;16;15;50;3;71;79;3;125;0;10;1;9241;164;9405;dic-17;;109;1218;2010;563;0;849;61;25;1121;7;0;0;1255;723;50;617;35;0;7;25;136;48;381;0;0;0;0;0;0;1;0;0;9241;164;9405;dic-17;;283;49;2642;37;;913;1311;1101;;;631;;;;2226;;;;;;47;9241;164;9405
ene-18;62;0;62;640;370468;ene-18;;0;2;3;3;2;4;4;2;6;7;14;4;1;3;7;62;0;62;ene-18;;3;14;0;0;0;0;9;0;0;1;0;7;19;1;0;0;3;0;2;0;0;3;0;0;0;62;0;62;ene-18;;2;13;14;2;0;5;1;0;4;0;0;0;6;3;0;4;1;0;5;0;0;0;2;0;0;0;0;0;0;0;0;0;62;0;62;ene-18;;11;0;17;1;;7;5;3;;;1;;;;16;;;;;;1;62;0;62
feb-18;9050;158;9208;5701;373975;feb-18;;0;143;119;328;428;761;510;248;774;1902;1192;497;430;1152;566;9050;158;9208;feb-18;;2632;3635;1;275;46;78;41;518;1;8;31;69;1275;24;23;18;57;3;39;139;6;122;0;9;0;9050;158;9208;feb-18;;115;1357;1965;542;0;719;36;34;1027;8;0;0;1085;691;51;715;28;8;11;20;194;57;382;0;0;0;0;0;0;1;4;0;9050;158;9208;feb-18;;251;45;2535;49;;891;1286;1167;;;601;;;;2072;;;;;;152;9050;158;9208
mar-18;9744;162;9906;7057;376824;mar-18;;0;156;125;348;445;871;588;239;922;2085;1367;544;401;1112;541;9744;162;9906;mar-18;;2415;4173;3;222;73;111;59;484;0;15;24;99;1494;54;26;27;19;4;103;160;6;165;0;8;0;9744;162;9906;mar-18;;119;1472;1809;729;0;878;57;22;1114;13;0;0;1327;861;56;750;37;2;5;28;0;63;398;0;0;0;0;0;0;1;3;0;9744;162;9906;mar-18;;312;44;2888;58;;977;1409;1278;;;646;;;;2090;;;;;;41;9744;162;9906
abr-18;7668;140;7808;7139;377493;abr-18;;0;130;116;289;345;721;454;217;692;1695;985;373;339;855;457;7668;140;7808;abr-18;;1893;3233;2;210;62;70;30;410;1;6;26;101;1270;38;21;12;27;3;54;68;5;122;1;3;0;7668;140;7808;abr-18;;112;1090;1631;609;0;645;46;25;811;9;0;0;967;616;30;594;31;6;5;18;31;58;329;0;0;0;0;0;0;1;4;0;7668;140;7808;abr-18;;278;45;2136;46;;781;1141;1004;;;502;;;;1689;;;;;;46;7668;140;7808
may-18;8000;136;8136;9030;376599;may-18;;0;118;104;273;416;744;492;225;724;1759;990;398;378;868;511;8000;136;8136;may-18;;1960;2868;3;227;62;118;46;339;3;8;49;94;1533;130;31;31;147;3;90;122;5;119;4;8;0;8000;136;8136;may-18;;109;1194;1515;653;0;690;33;16;841;11;0;0;1030;628;65;678;36;6;12;16;70;42;352;0;0;0;0;0;0;0;3;0;8000;136;8136;may-18;;279;39;2335;49;;877;1143;965;;;505;;;;1725;;;;;;82;8000;136;8136
jun-18;6459;113;6572;9303;373868;jun-18;;0;115;99;233;348;556;357;168;597;1354;850;336;294;741;411;6459;113;6572;jun-18;;1523;2268;1;211;71;121;43;281;4;7;29;102;1270;68;31;10;81;1;34;164;2;124;1;12;0;6459;113;6572;jun-18;;78;988;1304;565;0;646;26;10;617;4;0;0;888;486;47;474;25;5;4;7;21;43;220;0;0;0;0;0;0;0;1;0;6459;113;6572;jun-18;;247;39;1840;36;;696;915;791;;;406;;;;1429;;;;;;60;6459;113;6572
jul-18;3551;42;3593;5303;372158;jul-18;;0;83;65;134;156;338;205;93;313;751;435;203;131;408;236;3551;42;3593;jul-18;;866;1073;3;136;27;45;18;212;1;6;15;68;862;12;20;7;37;1;32;56;3;43;2;6;0;3551;42;3593;jul-18;;45;615;672;349;0;236;27;7;355;3;0;0;416;270;23;255;10;4;4;5;90;18;144;0;0;0;0;0;0;0;3;0;3551;42;3593;jul-18;;128;24;1044;22;;343;496;413;;;224;;;;811;;;;;;46;3551;42;3593
ago-18;7262;103;7365;9437;370086;ago-18;;0;105;119;278;356;614;422;192;653;1563;951;317;382;825;485;7262;103;7365;ago-18;;1796;2038;0;299;56;122;37;437;2;11;47;132;1700;58;20;26;86;2;98;144;4;123;4;20;0;7262;103;7365;ago-18;;116;1135;1373;673;0;562;31;19;760;18;0;0;1007;559;76;570;24;2;1;10;10;43;270;0;0;0;0;0;0;0;3;0;7262;103;7365;ago-18;;251;43;2071;36;;745;1062;881;;;464;;;;1651;;;;;;58;7262;103;7365
sep-18;5830;99;5929;8750;367265;sep-18;;0;99;71;207;303;501;341;165;538;1229;787;271;263;636;419;5830;99;5929;sep-18;;1356;1551;0;292;71;109;30;369;3;9;33;101;1412;48;30;15;39;1;73;140;7;129;2;10;0;5830;99;5929;sep-18;;76;969;1116;564;0;451;29;9;546;12;0;0;795;403;52;479;18;8;6;17;32;20;228;0;0;0;0;0;0;0;0;0;5830;99;5929;sep-18;;225;39;1609;34;;602;847;720;;;396;;;;1311;;;;;;47;5830;99;5929
oct-18;6508;127;6635;10523;363377;oct-18;;0;115;103;240;304;603;348;171;579;1377;824;310;354;712;468;6508;127;6635;oct-18;;1455;1704;6;391;97;133;38;365;3;9;33;122;1634;60;20;19;86;3;41;153;10;110;1;15;0;6508;127;6635;oct-18;;95;1103;1334;549;0;469;47;13;576;12;0;0;757;534;57;580;26;1;4;11;51;32;255;1;0;0;0;0;0;0;1;0;6508;127;6635;oct-18;;224;55;1833;49;;644;941;798;;;417;;;;1462;;;;;;84;6508;127;6635
nov-18;5499;86;5585;9517;359445;nov-18;;0;92;91;231;254;502;307;143;462;1123;730;291;314;565;394;5499;86;5585;nov-18;;1109;1451;2;357;49;122;32;349;3;13;41;89;1428;63;15;18;52;3;70;124;2;99;3;5;0;5499;86;5585;nov-18;;67;983;983;546;0;383;26;12;543;9;0;0;737;410;60;439;15;1;9;10;46;21;194;0;0;0;0;0;0;0;5;0;5499;86;5585;nov-18;;200;50;1534;37;;570;859;623;;;326;;;;1239;;;;;;61;5499;86;5585
dic-18;4629;91;4720;8585;355580;dic-18;;0;75;67;158;233;402;266;131;414;959;581;227;236;520;360;4629;91;4720;dic-18;;975;1136;0;252;48;99;34;315;7;6;28;137;1163;100;39;15;45;4;39;96;7;79;1;4;0;4629;91;4720;dic-18;;57;886;874;426;0;301;8;7;423;1;0;0;586;373;44;419;19;0;3;7;23;1;171;0;0;0;0;0;0;0;0;0;4629;91;4720;dic-18;;155;37;1312;41;;468;707;533;;;303;;;;1021;;;;;;51;4629;91;4720
ene-19;55;0;55;931;354704;ene-19;;0;3;1;4;2;9;2;0;4;12;3;2;0;7;6;55;0;55;ene-19;;1;6;0;5;0;0;3;0;0;0;0;8;17;0;0;0;1;0;0;3;0;11;0;0;0;55;0;55;ene-19;;1;21;9;3;0;2;0;0;5;0;0;0;6;2;0;2;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;55;0;55;ene-19;;9;0;13;0;;6;5;9;;;0;;;;12;;;;;;1;55;0;55
feb-19;6045;93;6138;7688;353154;feb-19;;0;116;98;207;269;553;365;155;571;1245;761;284;329;696;396;6045;93;6138;feb-19;;1397;1289;2;431;49;89;18;310;3;3;54;119;1775;44;9;18;68;1;75;148;4;122;1;16;0;6045;93;6138;feb-19;;84;1158;1248;551;0;398;9;12;596;3;0;0;676;398;66;545;33;2;0;10;21;0;232;0;0;0;0;0;0;0;3;0;6045;93;6138;feb-19;;227;58;1608;37;;639;887;702;;;401;;;;1424;;;;;;62;6045;93;6138
mar-19;6083;102;6185;9064;350275;mar-19;;0;98;110;233;304;541;327;171;491;1303;705;306;289;701;504;6083;102;6185;mar-19;;1314;1368;0;426;45;135;31;413;2;6;29;155;1709;40;20;26;64;4;66;135;6;72;4;13;0;6083;102;6185;mar-19;;81;1151;1238;610;0;369;11;9;706;6;0;0;642;448;62;493;23;3;3;6;19;0;200;1;0;0;0;0;0;0;2;0;6083;102;6185;mar-19;;200;35;1602;48;;658;870;728;;;379;;;;1462;;;;;;101;6083;102;6185
abr-19;5707;92;5799;9289;346785;abr-19;;0;121;94;228;273;540;309;130;464;1243;651;314;246;659;435;5707;92;5799;abr-19;;1203;1292;1;452;47;92;55;462;3;7;29;101;1555;52;17;16;47;1;75;114;8;60;3;15;0;5707;92;5799;abr-19;;83;1081;1095;497;0;412;21;18;542;9;0;0;630;414;48;463;18;7;13;5;120;0;229;1;0;0;0;0;0;0;1;0;5707;92;5799;abr-19;;188;44;1515;39;;591;823;645;;;386;;;;1353;;;;;;123;5707;92;5799
may-19;6410;136;6546;11979;341352;may-19;;0;136;104;214;315;576;336;177;571;1389;770;314;294;760;454;6410;136;6546;may-19;;1327;1394;4;425;61;137;45;474;1;6;58;150;1864;39;21;25;49;4;90;125;7;70;4;30;0;6410;136;6546;may-19;;90;1252;1267;672;0;393;39;8;563;3;0;0;716;482;61;614;17;3;4;8;0;0;214;0;0;0;0;0;0;0;4;0;6410;136;6546;may-19;;226;47;1694;43;;637;953;764;;;416;;;;1532;;;;;;98;6410;136;6546
jun-19;5500;114;5614;10059;336907;jun-19;;0;102;82;209;263;473;295;135;511;1178;736;257;237;637;385;5500;114;5614;jun-19;;1000;1237;3;400;52;102;81;388;1;8;32;125;1615;68;11;28;51;2;89;105;8;58;2;34;0;5500;114;5614;jun-19;;74;1068;1044;578;0;341;21;5;580;3;0;0;652;376;47;494;15;2;5;9;0;0;185;0;0;0;0;0;0;0;1;0;5500;114;5614;jun-19;;200;68;1561;37;;593;752;647;;;320;;;;1239;;;;;;83;5500;114;5614
jul-19;3668;72;3740;6594;334053;jul-19;;0;67;56;119;160;291;193;114;292;722;485;297;192;425;255;3668;72;3740;jul-19;;782;1010;0;292;27;77;39;214;1;3;12;92;798;20;18;16;21;2;51;65;4;38;70;16;0;3668;72;3740;jul-19;;38;686;782;350;0;252;17;9;464;3;0;0;377;240;28;291;8;4;3;10;0;0;104;0;0;0;0;0;0;0;2;0;3668;72;3740;jul-19;;127;102;999;28;;353;485;410;;;249;;;;860;;;;;;55;3668;72;3740
ago-19;6659;135;6794;8245;332602;ago-19;;0;119;111;241;320;604;387;175;603;1333;758;323;343;856;486;6659;135;6794;ago-19;;1091;1294;3;567;39;127;59;568;2;9;40;158;2223;57;28;22;22;3;95;163;8;59;11;11;0;6659;135;6794;ago-19;;79;1362;1304;787;0;387;35;10;571;4;0;0;716;434;53;658;12;1;12;9;0;0;213;1;0;0;0;0;0;0;11;0;6659;135;6794;ago-19;;197;60;1787;46;;673;1006;756;;;393;;;;1577;;;;;;164;6659;135;6794
sep-19;6815;133;6948;8708;330842;sep-19;;0;145;117;241;315;556;376;171;631;1429;879;295;318;876;466;6815;133;6948;sep-19;;1102;1657;1;563;95;114;129;579;4;9;27;133;1992;23;14;24;27;1;89;148;7;54;11;12;0;6815;133;6948;sep-19;;75;1292;1450;790;0;462;24;10;613;4;0;0;773;409;43;589;14;0;10;11;0;0;240;0;0;0;0;0;0;0;6;0;6815;133;6948;sep-19;;263;71;1893;46;;660;935;739;;;419;;;;1636;;;;;;153;6815;133;6948
oct-19;7136;146;7282;9517;328607;oct-19;;0;118;97;234;298;572;380;171;648;1470;859;353;384;863;689;7136;146;7282;oct-19;;1147;1841;1;583;87;139;202;563;2;6;26;164;1816;69;23;23;137;2;92;112;8;59;7;27;0;7136;146;7282;oct-19;;80;1254;1402;873;0;561;37;16;703;4;0;0;823;477;67;613;12;4;10;7;0;0;193;0;0;0;0;0;0;0;0;0;7136;146;7282;oct-19;;216;61;1932;41;;684;987;805;;;494;;;;1640;;;;;;276;7136;146;7282
nov-19;6103;118;6221;9562;325266;nov-19;;0;119;108;199;288;538;363;186;502;1243;744;274;255;851;433;6103;118;6221;nov-19;;1196;1445;4;402;28;117;112;547;0;8;23;157;1543;87;23;26;69;5;65;142;10;50;21;23;0;6103;118;6221;nov-19;;66;1140;1337;583;0;391;31;17;547;1;0;0;755;403;64;500;11;2;6;10;0;0;233;0;0;0;0;0;0;0;6;0;6103;118;6221;nov-19;;207;68;1559;32;;637;897;696;;;365;;;;1478;;;;;;164;6103;118;6221
dic-19;5637;112;5749;7842;323173;dic-19;;0;109;104;199;254;459;328;152;476;1105;677;245;287;810;432;5637;112;5749;dic-19;;1156;1613;3;365;40;94;78;521;4;8;28;129;1214;52;17;16;39;0;76;117;1;41;5;20;0;5637;112;5749;dic-19;;59;987;1259;566;0;370;51;8;568;6;0;0;695;355;36;455;12;2;4;9;0;0;192;0;0;0;0;0;0;0;3;0;5637;112;5749;dic-19;;189;36;1384;28;;588;820;681;;;376;;;;1370;;;;;;165;5637;112;5749
ene-20;103;4;107;726;322554;ene-20;;0;2;4;5;5;7;6;3;3;25;9;4;3;12;15;103;4;107;ene-20;;17;42;0;2;0;0;2;1;0;0;0;15;21;1;0;0;1;0;0;0;0;1;0;0;0;103;4;107;ene-20;;8;17;6;38;0;4;6;0;4;0;0;0;5;9;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;103;4;107;ene-20;;2;0;30;0;1;9;9;6;6;2;1;2;5;2;4;1;2;0;0;0;21;103;4;107
feb-20;5760;107;5867;6156;322265;feb-20;;0;106;91;212;262;489;288;143;493;1202;756;264;273;781;400;5760;107;5867;feb-20;;1098;1341;2;520;90;110;49;472;4;7;9;124;1541;54;14;22;30;1;49;114;3;56;11;39;0;5760;107;5867;feb-20;;58;1078;1219;650;0;444;32;7;466;6;0;0;690;334;43;511;11;1;1;12;0;0;192;0;0;0;0;0;0;0;5;0;5760;107;5867;feb-20;;166;48;1283;27;105;490;517;510;146;66;54;63;98;302;653;61;123;48;63;3;934;5760;107;5867
mar-20;4773;79;4852;4431;322686;mar-20;;0;75;85;139;203;361;262;123;412;1009;565;243;264;736;296;4773;79;4852;mar-20;;1160;1028;1;295;53;83;49;398;1;2;11;82;1260;50;13;13;33;2;54;130;3;36;3;13;0;4773;79;4852;mar-20;;63;910;1122;495;0;256;25;4;440;2;0;0;542;300;39;386;7;2;3;5;0;0;165;4;0;0;0;0;0;0;3;0;4773;79;4852;mar-20;;119;35;960;25;96;403;440;388;171;48;30;51;92;279;585;49;78;47;66;1;810;4773;79;4852
abr-20;76;1;77;2654;320109;abr-20;;0;2;0;0;1;9;8;5;10;14;9;4;1;7;6;76;1;77;abr-20;;39;12;0;0;0;0;1;0;0;0;0;0;16;0;0;1;2;0;5;0;0;0;0;0;0;76;1;77;abr-20;;1;11;11;6;0;5;2;0;6;0;0;0;6;5;0;1;0;0;1;0;0;0;21;0;0;0;0;0;0;0;0;0;76;1;77;abr-20;;3;0;19;0;1;10;7;4;7;2;0;1;1;4;6;1;1;0;1;0;8;76;1;77
may-20;387;4;391;4175;316325;may-20;;0;6;6;12;13;28;18;10;23;56;27;13;21;135;19;387;4;391;may-20;;23;37;0;11;40;22;47;140;0;3;1;3;30;0;1;1;5;0;20;0;1;2;0;0;0;387;4;391;may-20;;0;103;139;28;0;8;2;0;19;1;0;0;43;8;8;17;0;1;8;0;0;0;2;0;0;0;0;0;0;0;0;0;387;4;391;may-20;;16;4;68;4;7;24;29;26;9;6;1;3;2;6;114;4;5;0;2;0;57;387;4;391
jun-20;3136;56;3192;6810;312707;jun-20;;0;78;55;123;145;262;178;59;267;616;346;119;128;541;219;3136;56;3192;jun-20;;75;126;0;585;38;86;61;703;0;10;23;28;1081;29;12;3;74;0;38;143;11;9;0;1;0;3136;56;3192;jun-20;;27;806;694;377;0;167;25;0;191;2;0;0;313;143;45;244;0;2;14;0;0;0;84;1;0;0;0;0;0;0;1;0;3136;56;3192;jun-20;;117;12;647;10;56;233;309;238;80;36;26;23;40;133;505;16;45;23;38;1;548;3136;56;3192
jul-20;4167;79;4246;6273;310680;jul-20;;0;70;43;192;225;386;225;93;372;846;473;197;171;556;318;4167;79;4246;jul-20;;190;199;2;664;42;77;10;622;0;9;21;63;1813;38;20;1;132;1;62;159;5;19;0;18;0;4167;79;4246;jul-20;;34;1019;791;544;0;239;33;4;269;4;0;0;445;191;46;427;12;2;0;4;0;0;92;3;0;0;0;0;1;0;7;0;4167;79;4246;jul-20;;128;29;887;14;72;353;422;311;122;47;33;34;63;168;558;38;75;31;57;4;721;4167;79;4246
ago-20;4898;96;4994;6136;309538;ago-20;;0;83;81;201;256;435;282;110;424;910;562;245;221;756;332;4898;96;4994;ago-20;;640;538;1;450;37;101;66;541;0;5;16;349;1736;34;25;5;130;2;60;108;1;45;0;8;0;4898;96;4994;ago-20;;42;1038;928;592;0;267;39;6;496;5;0;0;566;204;49;494;8;1;17;2;0;0;137;1;0;0;0;0;1;0;5;0;4898;96;4994;ago-20;;157;30;1050;16;94;429;492;368;141;48;44;32;83;209;620;48;103;39;63;3;829;4898;96;4994
sep-20;3869;76;3945;7127;306356;sep-20;;0;59;63;138;196;309;213;110;353;761;522;157;156;553;279;3869;76;3945;sep-20;;631;1069;3;338;32;148;72;303;0;0;17;137;726;43;14;9;108;0;61;101;3;41;2;11;0;3869;76;3945;sep-20;;27;745;918;335;0;297;52;7;322;4;0;0;420;259;55;299;7;1;5;3;0;0;112;0;0;0;0;0;0;0;1;0;3869;76;3945;sep-20;;133;22;877;19;70;327;359;324;103;36;25;31;61;166;408;26;67;28;48;4;735;3869;76;3945
